
Diamon,4.09,0.19,0.08
Stop_Sign,8.12,0.34,0.08
Mushroom,11.18,0.51,0.18
Mushroom,14.70,1.30,0.29
Mushroom,17.62,3.63,0.81
Stop_Sign,20.89,3.54,-0.50
Circle,24.85,1.21,-0.42
Mushroom,21.82,1.72,2.61
Diamon,18.85,2.09,3.09
Diamon,0.60,-0.00,6.28
Mushroom,20.10,6.70,0.86
Ice,22.37,8.08,-0.33
Circle,16.40,8.76,2.64
Circle,13.62,9.02,2.77
Diamon,10.96,10.11,2.71
Diamon,8.96,12.19,2.10
Stop_Sign,7.35,14.74,2.16
Mushroom,10.16,13.59,-0.89
Mushroom,12.70,11.70,-0.58
Stop_Sign,14.86,8.09,-1.00
Circle,14.31,5.86,3.12
Diamon,12.46,11.24,2.25
Stop_Sign,14.73,8.58,-1.01
Mushroom,18.19,7.52,-0.10
Stop_Sign,21.08,5.29,-1.39
Mushroom,21.08,8.12,0.88
Diamon,20.20,5.38,-2.87
Mushroom,21.05,8.28,0.73
Ice,23.49,10.49,0.67
Circle,25.07,13.46,1.82
Mushroom,24.54,10.58,-2.39
Ice,24.03,7.98,0.18
Ice,28.38,8.63,-0.46
Stop_Sign,29.81,14.56,1.35
Stop_Sign,30.01,18.12,1.46
Stop_Sign,29.08,20.87,2.05
Stop_Sign,27.82,23.41,2.06
Mushroom,26.35,26.44,2.06
Alien,22.72,25.70,-2.97
Diamon,19.85,25.27,-2.95
Stop_Sign,23.50,25.80,-0.32
Stop_Sign,26.39,24.97,-0.33
Circle,29.28,24.53,-0.02
Mushroom,32.78,28.01,1.13
Circle,34.35,25.81,-1.34
Stop_Sign,35.68,21.66,-1.11
Mushroom,32.92,19.73,-3.11
Mushroom,31.99,22.30,1.58
Mushroom,32.01,25.06,1.51
Mushroom,32.46,28.26,1.33
Mushroom,33.09,31.36,1.33
Circle,33.47,27.69,-1.76
Circle,35.24,22.88,-0.95
Circle,37.17,20.63,-0.87
Circle,38.89,18.54,-0.87
Circle,40.92,16.09,-0.87
Mushroom,35.73,22.79,2.05
Circle,39.10,18.91,-1.06
Circle,40.49,16.27,-1.06
Circle,41.88,13.62,-1.06
Stop_Sign,40.63,16.24,1.63
Stop_Sign,42.98,15.75,0.69
Circle,38.45,21.06,2.22
Mushroom,35.08,24.01,2.43
Mushroom,32.28,26.37,2.44
Alien,29.59,24.95,-3.12
Alien,26.40,24.92,-3.12
Diamon,28.40,19.29,-1.25
Stop_Sign,27.29,22.46,1.89
Stop_Sign,27.40,24.87,0.11
Mushroom,32.36,26.24,0.58
Alien,35.23,26.76,-0.04
Alien,33.70,24.07,-2.39
Alien,30.95,22.42,-2.65
